,Date,Product,Level,Ref
0,2007-09-11,Guam: Guam,1,
1,2013-12-23,Hawaii: Oahu,1,
2,2015,Papua New Guinea: Port Moresby,-1,
3,2015-01,Solomon Islands: Guadalcanal,-2,vaqalo_coconut_2017
4,2017-01-01,Solomon Islands: Savo Island,-1,
5,2020-09-12,CNMI: Rota,1,
6,2017-01-01,Solomon Islands: Malaita Island,-2,
7,2019-01-01,Vanuatu: Efate,-1,
8,2019-01-01,New Caledonia,-2,
9,2023-05-21,Hawaii: Kauai,1,
10,2023-09-01,RMI: Majuro,2,
11,2023-10-11,Hawaii: Hawaii (Big Island),3,
12,2024-01-07,Timor-Leste,-1,
13,2023-11-01,Hawaii:Maui,4,
